parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
BLO;anjou;28/08/1989;6.0;1.0;52.1;0.0;76.57;19.2857142857143;153.2;8.5;7.15;NA;NA;NA
BOR;anjou;28/08/1989;5.0;2.0;52.1;0.0;76.57;19.2857142857143;180.65;5.45;5.5;NA;NA;NA
BOR;anjou;04/09/1989;6.0;2.0;42.8;0.0;75.43;15.628571428571401;194.0;5.0;4.65;13.349999999999994;-0.4500000000000002;-0.8499999999999996
VAL;anjou;28/08/1989;5.0;3.0;52.1;0.0;76.57;19.2857142857143;174.0;6.0;4.25;NA;NA;NA
VAL;anjou;04/09/1989;6.0;3.0;42.8;0.0;75.43;15.628571428571401;186.2;5.5;3.8;12.199999999999989;-0.5;-0.4500000000000002
BON;anjou;04/09/1995;2.0;4.0;38.3;0.0;69.43;16.8928571428571;182.9;7.0;4.36;NA;NA;NA
BON;anjou;11/09/1995;3.0;4.0;23.2;36.5;78.5;17.1571428571429;195.1;6.1;3.4;12.199999999999989;-0.9000000000000004;-0.9600000000000004
BON;anjou;18/09/1995;4.0;4.0;30.5;31.0;80.07;15.55;206.4;5.5;3.3;11.300000000000011;-0.5999999999999996;-0.10000000000000009
BON;anjou;24/09/1995;5.0;4.0;32.8;13.5;79.71;15.1714285714286;221.05;5.3;3.2;14.650000000000006;-0.20000000000000018;-0.09999999999999964
BON;anjou;02/10/1995;6.0;4.0;21.2;6.0;82.86;13.9214285714286;230.2;4.9;2.38;9.149999999999977;-0.39999999999999947;-0.8200000000000003
BOR;anjou;04/09/1995;2.0;5.0;38.3;0.0;69.43;16.8928571428571;158.65;9.4;7.98;NA;NA;NA
BOR;anjou;11/09/1995;3.0;5.0;23.2;36.5;78.5;17.1571428571429;175.1;7.8;6.08;16.44999999999999;-1.6000000000000005;-1.9000000000000004
BOR;anjou;18/09/1995;4.0;5.0;30.5;31.0;80.07;15.55;186.2;6.8;5.11;11.099999999999994;-1.0;-0.9699999999999998
BOR;anjou;24/09/1995;5.0;5.0;32.8;13.5;79.71;15.1714285714286;199.6;6.4;5.37;13.400000000000006;-0.39999999999999947;0.2599999999999998
BOR;anjou;02/10/1995;6.0;5.0;21.2;6.0;82.86;13.9214285714286;206.4;5.9;4.09;6.800000000000011;-0.5;-1.2800000000000002
SAU;anjou;04/09/1995;2.0;6.0;38.3;0.0;69.43;16.8928571428571;165.2;7.6;5.24;NA;NA;NA
SAU;anjou;11/09/1995;3.0;6.0;23.2;36.5;78.5;17.1571428571429;172.9;6.7;4.02;7.700000000000017;-0.8999999999999995;-1.2200000000000006
SAU;anjou;18/09/1995;4.0;6.0;30.5;31.0;80.07;15.55;178.4;6.0;3.88;5.5;-0.7000000000000002;-0.13999999999999968
SAU;anjou;24/09/1995;5.0;6.0;32.8;13.5;79.71;15.1714285714286;187.3;5.75;3.6;8.900000000000006;-0.25;-0.2799999999999998
SAU;anjou;02/10/1995;6.0;6.0;21.2;6.0;82.86;13.9214285714286;195.1;5.3;3.08;7.799999999999983;-0.4500000000000002;-0.52
BLO;anjou;11/09/1995;3.0;7.0;23.2;36.5;78.5;17.1571428571429;166.3;7.9;5.52;NA;NA;NA
BLO;anjou;18/09/1995;4.0;7.0;30.5;31.0;80.07;15.55;176.2;6.8;4.92;9.899999999999977;-1.1000000000000005;-0.5999999999999996
BLO;anjou;24/09/1995;5.0;7.0;32.8;13.5;79.71;15.1714285714286;190.7;6.3;4.65;14.5;-0.5;-0.2699999999999996
BLO;anjou;02/10/1995;6.0;7.0;21.2;6.0;82.86;13.9214285714286;197.4;5.9;3.52;6.700000000000017;-0.39999999999999947;-1.1300000000000003
BLO;anjou;16/09/1996;1.0;8.0;52.4;0.0;67.57;14.5785714285714;188.6;8.34;5.52;NA;NA;NA
BLO;anjou;23/09/1996;2.0;8.0;29.7;29.5;78.71;13.214285714285701;191.9;7.11;4.29;3.3000000000000114;-1.2299999999999995;-1.2299999999999995
BLO;anjou;30/09/1996;3.0;8.0;36.6;13.5;78.14;15.7785714285714;200.0;6.27;3.83;8.099999999999994;-0.8400000000000007;-0.45999999999999996
BLO;anjou;07/10/1996;4.0;8.0;36.9;11.0;77.93;12.6;219.5;5.89;3.2;19.5;-0.3799999999999999;-0.6299999999999999
BLO;anjou;14/10/1996;5.0;8.0;23.4;0.5;82.64;14.142857142857098;219.5;5.77;3.78;0.0;-0.1200000000000001;0.5799999999999996
BLO;anjou;21/10/1996;6.0;8.0;31.4;3.5;80.14;13.4857142857143;227.55;5.74;3.15;8.050000000000011;-0.02999999999999936;-0.6299999999999999
BON;anjou;16/09/1996;1.0;9.0;52.4;0.0;67.57;14.5785714285714;222.9;6.53;3.31;NA;NA;NA
